venue_id,name_abbr,venue_name,main_team_id,name_display_club,extra_distance_2025,extra_distance_2024,extra_distance_2023,extra_distance_2022,extra_distance_2021,extra_distance_2020,extra_distance_2019,extra_distance_2018,extra_distance_2017,extra_distance_2016
5325,TEX,Globe Life Field,140,Rangers,-0.9,-0.1,5.2,7.7,8.3,3,1.3,6.3,4.5,4.7
3,BOX,Fenway Park,111,Red Sox,-7.1,-3.5,-5.6,-4.8,-2.2,2.8,-4.7,-6,-3.4,-5.7
2394,DET,Comerica Park,116,Tigers,-4.6,-4.4,-1,-7.7,-7.7,-3.3,-2.7,-2.7,-4.3,-2.6
4,CWS,Rate Field,145,White Sox,-9.1,-1.3,-2.3,-1.7,-1.4,-0.7,-1.4,-1.9,-0.2,-2.8
2,BAL,Oriole Park at Camden Yards,110,Orioles,3.1,-0.3,-2.3,-0.6,-0.6,-1.6,0.9,2.7,-5.2,-2.6
4705,ATL,Truist Park,144,Braves,4.1,1.2,6.6,1.8,0.9,5.4,-0.5,1.1,-1.9,-6.5
7,KC,Kauffman Stadium,118,Royals,4.1,4.1,5.4,4.7,2.5,3,1.1,2.2,4.7,2.6
12,TB,Tropicana Field,139,Rays,-5.6,1.7,5.3,3.8,4.8,4,5.2,3.9,5.5,3.3
15,AZ,Chase Field,109,D-backs,9.3,7.9,9.5,13.3,13.9,10.3,4,6.3,7.1,9.1
19,COL,Coors Field,115,Rockies,16.6,18.4,18,22.2,19.8,18.9,20.5,18.9,24.4,27
31,PIT,PNC Park,134,Pirates,0.3,-0.1,-1.2,-2.8,1.3,0.1,1,-1,2.1,2.5
3312,MIN,Target Field,142,Twins,-2.1,2.7,2,-1.7,-2,-2.8,-1.3,0.6,2.1,1.8
3313,NYY,Yankee Stadium,147,Yankees,-4.2,-3.8,-5.8,-5.2,-5.7,-0.9,-3.2,-5.7,-3.7,-2
2392,HOU,Daikin Park,117,Astros,3,-1.6,-3.1,-1.4,-1.2,-1.1,-1.7,1.1,3.7,2.7
3289,NYM,Citi Field,121,Mets,-6,-2.2,-2,-3.8,0,-1.2,-2.9,-2.5,0.3,-1.1
2680,SD,Petco Park,135,Padres,-2.7,-2.9,-3.8,-4.4,-6,-2.6,-4.6,-3,-2.2,-1.7
2395,SF,Oracle Park,137,Giants,0.6,-1.1,-4.3,-1.7,-0.6,-7.4,-4.9,-2.9,-8,-4.5
2889,STL,Busch Stadium,138,Cardinals,-1.7,2.2,-2.3,-1.2,-0.6,-3.6,0,-3.2,-0.6,1.8
3309,WSH,Nationals Park,120,Nationals,0.2,1.3,-2,-0.3,-0.8,1.2,0.2,1.3,0.2,-1.6
4169,MIA,loanDepot park,146,Marlins,1.6,-1.7,-1.2,0.6,0.2,1.9,0.4,3.1,1,0.4
22,LAD,Dodger Stadium,119,Dodgers,0.6,-2,-3.4,-2.1,-4.5,-1.8,1.2,0.4,-1.5,-1.7
1,LAA,Angel Stadium,108,Angels,3.6,1.1,-2,1.2,0,-1.6,3.9,3,1.8,2.2
10,OAK,Oakland Coliseum,133,Athletics,9.7,-3.6,-2.9,-0.5,-5.2,-2.8,-0.9,-3.5,-0.7,-3.5
14,TOR,Rogers Centre,141,Blue Jays,-0.1,-2.1,-4.1,-0.2,-1,-4.9,0.2,-3.4,-0.7,-4.7
680,SEA,T-Mobile Park,136,Mariners,-1.8,-5.3,-1.8,-4.3,-4.8,-4.8,-6.4,-7.3,-6.5,-6.7
2602,CIN,Great American Ball Park,113,Reds,-0.6,2.7,1.8,1.5,0.6,2.3,0.5,1.7,0.1,2
2681,PHI,Citizens Bank Park,143,Phillies,1.7,1.2,-0.6,-5.5,-3.9,-1,-2.9,-0.9,-5.7,-2.8
5,CLE,Progressive Field,114,Guardians,-4.5,-2.6,-4.8,-6.5,0,-3,-1.4,-2.4,-2.4,-1.5
32,MIL,American Family Field,158,Brewers,2.9,2.2,2.5,1.1,1.5,-3.2,1.9,1.2,0.9,5.7
17,CHC,Wrigley Field,112,Cubs,-4.5,-6.1,-4.4,-3.4,-2.9,-1.5,-0.8,-3.2,-4.9,-10.3
